DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,crime_timestamp,Year,Wildfire Event
200121929,12/04/2020 12:00:00 AM,2020-12-03,2300,1,Central,105,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,400    SOLANO                       AV,,34.071,-118.2302,2020-12-03 23:00:00,2020,1
200218448,12/11/2020 12:00:00 AM,2020-12-10,2000,2,Rampart,271,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819,2020-12-10 20:00:00,2020,1
201225656,12/02/2020 12:00:00 AM,2020-12-02,2245,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,SAN PEDRO,85TH                         ST,33.961,-118.2695,2020-12-02 22:45:00,2020,1
200716724,12/04/2020 12:00:00 AM,2020-12-03,811,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,8400    BEVERLY                      BL,,34.0761,-118.3737,2020-12-03 08:11:00,2020,1
200918185,12/07/2020 12:00:00 AM,2020-12-07,1203,9,Van Nuys,935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,900.0,,,,6200    SYLMAR                       AV,,34.1837,-118.4465,2020-12-07 12:03:00,2020,1
200717189,12/16/2020 12:00:00 AM,2020-12-13,1500,7,Wilshire,765,1,330,BURGLARY FROM VEHICLE,1822 1300 0344 2019,43,F,B,102.0,SIDEWALK,,,IC,Invest Cont,330.0,,,,PICO                         BL,COCHRAN,34.0496,-118.3425,2020-12-13 15:00:00,2020,1
200817626,12/17/2020 12:00:00 AM,2020-12-16,1600,8,West LA,855,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1600 S  BENTLEY                      AV,,34.0484,-118.4437,2020-12-16 16:00:00,2020,1
200517895,12/16/2020 12:00:00 AM,2020-12-16,2125,5,Harbor,526,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0443 0913,40,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,900 N  FRIES                        AV,,33.7815,-118.265,2020-12-16 21:25:00,2020,1
200321494,12/08/2020 12:00:00 AM,2020-12-07,1700,3,Southwest,315,1,330,BURGLARY FROM VEHICLE,1609 0344 1822,67,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330.0,,,,W  24TH                         ST,ARLINGTON                    AV,34.0349,-118.3177,2020-12-07 17:00:00,2020,1
200122014,12/06/2020 12:00:00 AM,2020-12-06,1930,1,Central,162,2,624,BATTERY - SIMPLE ASSAULT,1822 0421 1218 0447 1202 2033 0910,66,F,W,801.0,MTA BUS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,8TH                          ST,HILL                         ST,34.0452,-118.2569,2020-12-06 19:30:00,2020,1
200321686,12/13/2020 12:00:00 AM,2020-12-13,2125,3,Southwest,341,1,761,BRANDISH WEAPON,2004 1822 1402 0334 0421,53,M,H,301.0,GAS STATION,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,761.0,930.0,,,COLISEUM,LA BREA                      BL,34.0183,-118.3556,2020-12-13 21:25:00,2020,1
200122119,12/08/2020 12:00:00 AM,2020-12-08,2007,1,Central,164,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 0913 1814 2000 0421,25,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930.0,,,,600 S  MAIN                         ST,,34.0448,-118.2504,2020-12-08 20:07:00,2020,1
200321313,12/06/2020 12:00:00 AM,2020-12-06,1530,3,Southwest,361,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AO,Adult Other,510.0,,,,3900    STEVELY                      AV,,34.0159,-118.3536,2020-12-06 15:30:00,2020,1
200517669,12/10/2020 12:00:00 AM,2020-12-07,1100,5,Harbor,517,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1100    BROAD                        AV,,33.7849,-118.2612,2020-12-07 11:00:00,2020,1
200321294,12/05/2020 12:00:00 AM,2020-12-05,1230,3,Southwest,397,2,624,BATTERY - SIMPLE ASSAULT,1822 0342 0400 0329 2024 1236,46,F,H,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,4300 S  VERMONT                      AV,,34.0073,-118.298,2020-12-05 12:30:00,2020,1
200716781,12/06/2020 12:00:00 AM,2020-12-06,1230,7,Wilshire,702,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,26,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,998.0,,,700 N  SIERRA BONITA                AV,,34.0837,-118.3543,2020-12-06 12:30:00,2020,1
200716734,12/05/2020 12:00:00 AM,2020-12-05,915,7,Wilshire,765,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1309 0443,59,F,W,108.0,PARKING LOT,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,VENICE                       BL,RIMPAU,34.0467,-118.3406,2020-12-05 09:15:00,2020,1
201116284,12/03/2020 12:00:00 AM,2020-12-03,805,11,Northeast,1147,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1814 0913 2000,24,F,H,254.0,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,1900    KEMPER                       ST,,34.1018,-118.2325,2020-12-03 08:05:00,2020,1
200817301,12/07/2020 12:00:00 AM,2020-12-07,1530,8,West LA,897,1,320,"BURGLARY, ATTEMPTED",1822 1609 1210,54,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320.0,,,,3300 S  BEVERLY                      DR,,34.031,-118.3989,2020-12-07 15:30:00,2020,1
200415682,12/06/2020 12:00:00 AM,2020-12-06,2130,4,Hollenbeck,407,2,900,VIOLATION OF COURT ORDER,2038 0913 0562 2004,67,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,900.0,,,,3900    MONTEREY                     RD,,34.0918,-118.1887,2020-12-06 21:30:00,2020,1
201116312,12/04/2020 12:00:00 AM,2020-12-02,2330,11,Northeast,1153,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,56,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,1900 N  SERRANO                      AV,,34.1054,-118.3071,2020-12-02 23:30:00,2020,1
201226495,12/16/2020 12:00:00 AM,2020-12-15,2200,12,77th Street,1211,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5400    BRYNHURST                    AV,,33.9909,-118.3333,2020-12-15 22:00:00,2020,1
200218229,12/05/2020 12:00:00 AM,2020-12-04,2300,2,Rampart,249,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3RD                          ST,BIXEL,34.0576,-118.2598,2020-12-04 23:00:00,2020,1
200321450,12/09/2020 12:00:00 AM,2020-12-09,300,3,Southwest,333,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0446 0408 2000 1814 0913 0216 1309 0329,54,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,3000    WELLINGTON                   RD,,34.0261,-118.3384,2020-12-09 03:00:00,2020,1
200415653,12/05/2020 12:00:00 AM,2020-12-05,2310,4,Hollenbeck,424,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,21,M,A,101.0,STREET,,,IC,Invest Cont,440.0,,,,VALLEY                       BL,SAN PABLO                    ST,34.0655,-118.2022,2020-12-05 23:10:00,2020,1
200517520,12/06/2020 12:00:00 AM,2020-12-06,1510,5,Harbor,507,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0913 0329 1300,28,M,A,122.0,"VEHICLE, PASSENGER/TRUCK",302.0,BLUNT INSTRUMENT,AO,Adult Other,745.0,,,,22400    HALLDALE                     AV,,33.8222,-118.3015,2020-12-06 15:10:00,2020,1
201226612,12/09/2020 12:00:00 AM,2020-12-08,1500,12,77th Street,1258,2,623,BATTERY POLICE (SIMPLE),1212 0416 0417,0,F,W,753.0,DETENTION/JAIL FACILITY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623.0,,,,7600 S  BROADWAY,,33.9703,-118.2783,2020-12-08 15:00:00,2020,1
201015689,12/03/2020 12:00:00 AM,2020-12-02,1730,10,West Valley,1033,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1602 0397 0344 1414,0,M,W,249.0,NURSERY/FLOWER SHOP,,,IC,Invest Cont,341.0,,,,18800    VICTORY                      BL,,34.1866,-118.5422,2020-12-02 17:30:00,2020,1
200716814,12/07/2020 12:00:00 AM,2020-12-06,1800,7,Wilshire,788,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 0384,57,M,H,101.0,STREET,,,IC,Invest Cont,331.0,,,,2300 S  BRONSON                      AV,,34.0357,-118.332,2020-12-06 18:00:00,2020,1
200716993,12/11/2020 12:00:00 AM,2020-12-03,1630,7,Wilshire,722,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,19,M,H,405.0,CLOTHING STORE,,,IC,Invest Cont,440.0,,,,100 N  LA CIENEGA                   BL,,34.0734,-118.3765,2020-12-03 16:30:00,2020,1
200918506,12/16/2020 12:00:00 AM,2020-12-14,1200,9,Van Nuys,932,2,354,THEFT OF IDENTITY,0922 1822,45,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,14800    VICTORY                      BL,,34.1867,-118.4567,2020-12-14 12:00:00,2020,1
201226244,12/12/2020 12:00:00 AM,2020-12-12,800,12,77th Street,1203,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5000 S  WESTERN                      AV,,33.9982,-118.3089,2020-12-12 08:00:00,2020,1
201226437,12/14/2020 12:00:00 AM,2020-12-14,1500,12,77th Street,1268,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 2002 0416 0446 0212,33,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,100 E  85TH                         ST,,33.961,-118.2739,2020-12-14 15:00:00,2020,1
201016206,12/16/2020 12:00:00 AM,2020-12-14,1540,10,West Valley,1088,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394 0344 1202,61,M,W,232.0,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",,,IC,Invest Cont,440.0,,,,16300    VENTURA                      BL,,34.157,-118.488,2020-12-14 15:40:00,2020,1
200415884,12/05/2020 12:00:00 AM,2020-12-05,1900,4,Hollenbeck,449,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0503 0522 0913,14,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,1000    SENTINEL                     AV,,34.0493,-118.1953,2020-12-05 19:00:00,2020,1
201225777,12/04/2020 12:00:00 AM,2020-12-04,1715,12,77th Street,1258,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1821 0913 0416 0446 1309,57,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,73RD                         ST,SAN PEDRO                    ST,33.9739,-118.2696,2020-12-04 17:15:00,2020,1
200918367,12/12/2020 12:00:00 AM,2020-12-12,15,9,Van Nuys,914,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 0311 0371 0416 0446 1414 1822,45,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,14600    VANOWEN                      ST,,34.1976,-118.4574,2020-12-12 00:15:00,2020,1
200218340,12/08/2020 12:00:00 AM,2020-12-07,1900,2,Rampart,233,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,100 S  LA FAYETTE P                 PL,,34.0697,-118.2779,2020-12-07 19:00:00,2020,1
200619238,12/14/2020 12:00:00 AM,2020-12-10,1500,6,Hollywood,647,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1501,0,X,X,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,6200    HOLLYWOOD                    BL,,34.1016,-118.3252,2020-12-10 15:00:00,2020,1
200918386,12/12/2020 12:00:00 AM,2020-12-12,1700,9,Van Nuys,923,2,624,BATTERY - SIMPLE ASSAULT,0448 0416 1420,22,M,O,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,14500    VICTORY                      BL,,34.1903,-118.4574,2020-12-12 17:00:00,2020,1
200122222,12/10/2020 12:00:00 AM,2020-12-09,1900,1,Central,159,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329 1414,32,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,JESSE,IMPERIAL,34.0363,-118.2314,2020-12-09 19:00:00,2020,1
200218507,12/12/2020 12:00:00 AM,2020-12-11,1930,2,Rampart,251,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,300 S  RAMPART                      BL,,34.0657,-118.2792,2020-12-11 19:30:00,2020,1
200817174,12/03/2020 12:00:00 AM,2020-12-03,1400,8,West LA,812,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1309 1420 1822 0202 0344 0394,35,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,300 N  SKYEWIAY                     RD,,34.0635,-118.4819,2020-12-03 14:00:00,2020,1
200415988,12/16/2020 12:00:00 AM,2020-12-16,325,4,Hollenbeck,491,1,510,VEHICLE - STOLEN,,0,,,118.0,CONSTRUCTION SITE,,,IC,Invest Cont,510.0,,,,WASHINGTON                   BL,PERRINO                      PL,34.0173,-118.2211,2020-12-16 03:25:00,2020,1
201015938,12/10/2020 12:00:00 AM,2020-12-10,1200,10,West Valley,1063,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0421 0416 1802 1414,50,F,O,510.0,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,930.0,,,18300    VENTURA                      BL,,34.1682,-118.5406,2020-12-10 12:00:00,2020,1
200716649,12/02/2020 12:00:00 AM,2020-12-02,2015,7,Wilshire,758,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,55,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,1200    WEST                         BL,,34.0502,-118.3331,2020-12-02 20:15:00,2020,1
200517861,12/16/2020 12:00:00 AM,2020-12-16,200,5,Harbor,585,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 1100 1402 1822,23,M,H,108.0,PARKING LOT,106.0,UNKNOWN FIREARM,AA,Adult Arrest,230.0,998.0,,,1800 S  PACIFIC                      AV,,33.7243,-118.2963,2020-12-16 02:00:00,2020,1
200717053,12/13/2020 12:00:00 AM,2020-12-13,330,7,Wilshire,765,2,888,TRESPASSING,1309 0913,36,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,1400 S  ORANGE                       DR,,34.0473,-118.3472,2020-12-13 03:30:00,2020,1
200122059,12/07/2020 12:00:00 AM,2020-12-07,1400,1,Central,164,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0947 1309 0919 1310 1822 0429 0448 1311,22,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,6TH,SPRING,34.046,-118.251,2020-12-07 14:00:00,2020,1
201226606,12/17/2020 12:00:00 AM,2020-12-12,1200,12,77th Street,1253,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,7600 S  HOBART                       BL,,33.9691,-118.3079,2020-12-12 12:00:00,2020,1
200321341,12/06/2020 12:00:00 AM,2020-12-06,2305,3,Southwest,361,1,761,BRANDISH WEAPON,0334 0329 0443 0913 1259 1300 1309,12,M,H,103.0,ALLEY,102.0,HAND GUN,AA,Adult Arrest,761.0,,,,4000    STEVELY                      AV,,34.0131,-118.3536,2020-12-06 23:05:00,2020,1
201116741,12/18/2020 12:00:00 AM,2020-12-13,100,11,Northeast,1117,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,28,M,H,514.0,GROUP HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1600    SILVER OAK                   TR,,34.1294,-118.2108,2020-12-13 01:00:00,2020,1
201225575,12/02/2020 12:00:00 AM,2020-12-02,30,12,77th Street,1245,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444 0448 0913 1202,22,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,6400 S  DENKER                       AV,,33.9806,-118.3046,2020-12-02 00:30:00,2020,1
201226396,12/14/2020 12:00:00 AM,2020-12-14,1400,12,77th Street,1203,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822,31,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,1700 W  45TH                         ST,,34.0028,-118.3096,2020-12-14 14:00:00,2020,1
200218354,12/08/2020 12:00:00 AM,2020-12-08,345,2,Rampart,238,1,330,BURGLARY FROM VEHICLE,1822 1309 0342 0344 1607 1302,57,M,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,200 N  BIXEL                        ST,,34.0628,-118.2553,2020-12-08 03:45:00,2020,1
200218624,12/15/2020 12:00:00 AM,2020-12-14,1730,2,Rampart,238,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 N  BOYLSTON                     ST,,34.0642,-118.257,2020-12-14 17:30:00,2020,1
201016098,12/14/2020 12:00:00 AM,2020-12-14,1257,10,West Valley,1029,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1402,31,F,V,101.0,STREET,,,IC,Invest Cont,331.0,,,,GLORIA                       AV,HART                         ST,34.1976,-118.4793,2020-12-14 12:57:00,2020,1
200218318,12/07/2020 12:00:00 AM,2020-12-06,2000,2,Rampart,248,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822 1252,41,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,500    WITMER                       ST,,34.0555,-118.2656,2020-12-06 20:00:00,2020,1
201116364,12/06/2020 12:00:00 AM,2020-12-05,910,11,Northeast,1149,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,45,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,100 S  AVE 55,,34.1074,-118.1978,2020-12-05 09:10:00,2020,1
201226628,12/17/2020 12:00:00 AM,2020-12-07,1700,12,77th Street,1268,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,8000 S  BROADWAY,,33.9659,-118.2783,2020-12-07 17:00:00,2020,1
200619173,12/12/2020 12:00:00 AM,2020-12-05,1400,6,Hollywood,666,2,354,THEFT OF IDENTITY,0100 0930 1822,43,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6400    LA MIRADA                    AV,,34.0935,-118.3299,2020-12-05 14:00:00,2020,1
200918273,12/09/2020 12:00:00 AM,2020-12-09,1315,9,Van Nuys,914,2,888,TRESPASSING,1501,37,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,15000    MARLIN                       PL,,34.1971,-118.4597,2020-12-09 13:15:00,2020,1
200619188,12/12/2020 12:00:00 AM,2020-12-12,1920,6,Hollywood,645,2,624,BATTERY - SIMPLE ASSAULT,0329 0400 0416 1310 1822 0345 0446,33,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,HAWTHORN                     AV,ORANGE                       DR,34.1003,-118.3414,2020-12-12 19:20:00,2020,1
201100801,12/10/2020 12:00:00 AM,2020-12-09,2200,11,Northeast,1177,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0906 1407 1100 0450 0399,20,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,998.0,,,2600    ROSEVIEW                     AV,,34.0927,-118.2292,2020-12-09 22:00:00,2020,1
200321818,12/16/2020 12:00:00 AM,2020-12-16,1515,3,Southwest,321,1,210,ROBBERY,1309 0430 0302 0355 0344 1310 1822,37,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,210.0,230.0,,,3500 S  LA CIENEGA                   BL,,34.0237,-118.3722,2020-12-16 15:15:00,2020,1
200619124,12/11/2020 12:00:00 AM,2020-12-11,500,6,Hollywood,666,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1501 1609,0,X,X,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,6500    SANTA MONICA                 BL,,34.0944,-118.3277,2020-12-11 05:00:00,2020,1
200817541,12/14/2020 12:00:00 AM,2020-12-12,1300,8,West LA,834,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,10500    EASTBORNE                    AV,,34.0554,-118.4292,2020-12-12 13:00:00,2020,1
200918037,12/04/2020 12:00:00 AM,2020-12-03,2325,9,Van Nuys,966,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0325 0444,0,X,X,403.0,DRUG STORE,514.0,TIRE IRON,IC,Invest Cont,740.0,,,,13300    RIVERSIDE                    DR,,34.1576,-118.4231,2020-12-03 23:25:00,2020,1
200817559,12/14/2020 12:00:00 AM,2020-12-14,1230,8,West LA,889,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202 0913 0603,64,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1900 S  GARTH                        AV,,34.0407,-118.3791,2020-12-14 12:30:00,2020,1
200918485,12/15/2020 12:00:00 AM,2020-12-13,1555,9,Van Nuys,919,2,354,THEFT OF IDENTITY,0922 0100,34,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,13400    VANOWEN                      ST,,34.1939,-118.4243,2020-12-13 15:55:00,2020,1
200817186,12/03/2020 12:00:00 AM,2020-12-02,508,8,West LA,885,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1420 0344 0394 0352 1822,50,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,2600    OVERLAND                     AV,,34.0382,-118.422,2020-12-02 05:08:00,2020,1
200817443,12/11/2020 12:00:00 AM,2020-12-10,2100,8,West LA,892,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,2400    SAWTELLE                     BL,,34.0346,-118.4381,2020-12-10 21:00:00,2020,1
201015915,12/09/2020 12:00:00 AM,2020-12-08,1900,10,West Valley,1063,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,M,W,409.0,BEAUTY SUPPLY STORE,,,IC,Invest Cont,740.0,,,,18600    VENTURA                      BL,,34.1698,-118.5386,2020-12-08 19:00:00,2020,1
200122218,12/10/2020 12:00:00 AM,2020-12-09,2200,1,Central,162,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,800 S  OLIVE                        ST,,34.0437,-118.2582,2020-12-09 22:00:00,2020,1
200121920,12/04/2020 12:00:00 AM,2020-12-03,1815,1,Central,101,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344,29,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,900    FIGUEROA                     TR,,34.0663,-118.2442,2020-12-03 18:15:00,2020,1
200321484,12/09/2020 12:00:00 AM,2020-12-09,200,3,Southwest,392,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0913 0344 1202 1817,66,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,4700    6TH                          AV,,34.0009,-118.3236,2020-12-09 02:00:00,2020,1
200122397,12/15/2020 12:00:00 AM,2020-12-15,930,1,Central,152,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,500 S  GRAND                        AV,,34.0495,-118.2546,2020-12-15 09:30:00,2020,1
201116601,12/13/2020 12:00:00 AM,2020-12-12,1500,11,Northeast,1172,1,330,BURGLARY FROM VEHICLE,0344 1307,28,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,SILVER LAKE,EARL,34.0971,-118.2612,2020-12-12 15:00:00,2020,1
200218369,12/09/2020 12:00:00 AM,2020-12-09,610,2,Rampart,248,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 0913 1402 1407 1823 1817 0416 0400 1913 0445,35,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,230.0,998.0,,,400    HARTFORD                     AV,,34.057,-118.2635,2020-12-09 06:10:00,2020,1
